id,price,license,model,fuel,cc,registration_date,license_changed,owner_changed,total_loss,flood,theft,damaged_count,damaged_total,damaged_by_other_count,damaged_by_other_total,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38590693,3890,66다1830,G90,가솔린,3778cc,2018/12/05,0,2,0,0,0,1,1593470,3,2614040,오토,자가보증,"106,932km",없음,없음,없음,없음,없음
38284829,1230,04다3470,티볼리 아머,가솔린,1597cc,2019/02/22,0,1,0,0,0,2,3367100,1,546486,오토,자가보증,"46,043km",없음,없음,없음,없음,있음
38590274,990,42두0705,더 뉴 K7,가솔린,2359cc,2013/03/15,1,5,0,0,0,2,1358120,1,671090,오토,보험사보증,"85,971km",없음,없음,없음,없음,있음
38589766,1450,313다8164,캐스퍼,가솔린,998cc,2023/03/06,0,1,0,0,0,0,0,0,0,오토,자가보증,0km,없음,없음,없음,없음,없음
37347787,2050,68수1392,G80,가솔린,3342cc,2018/01/02,0,1,0,0,0,4,2856836,0,0,오토,보험사보증,"129,394km",없음,없음,없음,없음,있음
38484839,1300,59소2745,코나 일렉트릭,전기,180cc,2020/12/08,1,1,0,0,0,3,2283811,0,0,오토,보험사보증,"218,455km",없음,없음,있음 / 영업용,없음,있음
38374325,1700,114거4007,올 뉴 K7,가스,2999cc,2016/11/21,1,2,0,0,0,0,0,0,0,오토,보험사보증,"60,954km",없음,없음,있음 / 렌트,없음,없음
38334407,400,39구5924,뉴쏘렌토,디젤,2497cc,2007/05/03,0,3,0,0,0,0,0,2,1360070,오토,보험사보증,"120,887km",없음,없음,없음,없음,없음
38492266,1720,175다3351,베리 뉴 티볼리,가솔린,1497cc,2020/08/21,0,1,0,0,0,0,0,0,0,오토,자가보증,"4,334km",없음,없음,없음,없음,없음
38587262,1230,248모2273,모닝 어반 (JA),가솔린,998cc,2022/12/15,0,1,0,0,0,0,0,0,0,오토,자가보증,"16,756km",없음,없음,없음,없음,없음
38392878,710,316도9545,아반떼 AD,가솔린,1591cc,2017/08/14,1,8,0,0,0,2,4031748,5,9043025,오토,자가보증,"143,712km",없음,없음,없음,없음,있음
38588378,1490,13가5865,올 뉴 투싼,가솔린,1591cc,2018/07/06,0,1,0,0,0,1,2149050,0,0,오토,자가보증,"107,526km",없음,없음,없음,없음,있음
38283972,540,08버0937,더 넥스트 스파크,가솔린,999cc,2016/01/11,0,1,0,0,0,0,0,0,0,오토,자가보증,"28,546km",없음,없음,없음,없음,없음
