Car ID,차량번호,최초등록일,변속기종류,사용연료,주행거리(km),주행거리 계기상태,차대번호표기,튜닝,특별이력,용도변경,배출가스,리콜대상,차명,연식
38400685,358저9292,2022/11/18,-,가솔린,"36,944km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 2ppm,해당없음,K5 3세대,2023년식
38515598,62더0456,2012/08/01,오토,가솔린,"149,260km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당,뉴SM5(신형),2012년식
38331966,08도7121,2017/10/10,오토,디젤,"45,813km",양호,양호,없음,없음,없음,매연: 5%,해당없음,뉴QM3,2018년식
38608838,114조8441,2023/12/04,-,가솔린,"22,165km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,더 뉴 카니발 4세대,2024년식
37476456,20다1413,2017/05/10,오토,가솔린,874km,양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,티볼리 에어,2017년식
38639447,248두9439,2019/04/05,오토,가솔린,"118,728km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,더 K9,2019년식
38284799,60우9084,2008/10/01,오토,가솔린,"175,919km",양호,양호,없음,없음,없음,일산화탄소: 0.13% / 탄화수소: 23ppm,해당없음,NF 쏘나타 트랜스폼,2009년식
38605995,47루2286,2012/10/15,오토,가솔린,"117,659km",양호,양호,없음,없음,없음,일산화탄소: 0.07% / 탄화수소: 9ppm,해당없음,스파크,2012년식
38173569,01보2598,2018/02/09,오토,디젤,"105,825km",양호,양호,없음,없음,없음,매연: 3.4%,해당없음,더 뉴 쏘렌토,2018년식
38513065,98오1172,2019/11/15,수동,디젤,"15,530km",양호,양호,없음,없음,없음,매연: 3%,해당없음,마스터,2019년식
38388180,37무8289,2012/08/24,오토,가솔린,"69,183km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 23ppm,해당없음,아반떼 MD,2013년식
38539625,185무8012,2021/09/16,-,가솔린,"36,368km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,K8,2022년식
38383093,64러1148,2012/03/02,오토,LPG(일반인 구입),"219,586km",양호,양호,없음,없음,없음,일산화탄소: 0.17% / 탄화수소: 28ppm,해당없음,뉴SM5(신형),2012년식
37482769,399러7684,2019/03/11,-,가솔린,"95,321km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,더 뉴 레이,2019년식
37898687,22로8246,2015/07/28,오토,디젤,"151,727km",양호,양호,없음,없음,없음,매연: 10%,해당없음,QM3,2015년식
38357587,04우1204,2013/12/31,-,가솔린,"236,919km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,에쿠스(신형),2014년식
38472983,168거3202,2020/01/20,오토,가솔린,"26,446km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: 4ppm,해당없음,더 뉴 스파크,2020년식
36149894,26오7550,2014/08/27,-,LPG(일반인 구입),"139,453km",양호,양호,없음,없음,없음,일산화탄소: 0.05% / 탄화수소: 6ppm,해당없음,더 뉴 K5,2015년식
37393641,63마4494,2008/07/24,오토,가솔린,"118,626km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 5ppm,해당없음,SM7 New Art,2008년식
38441608,97라1027,2021/10/05,-,가솔린,"41,457km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,리얼 뉴 콜로라도,2021년식
38566821,137루8466,2021/02/03,-,디젤,"37,866km",양호,양호,없음,없음,없음,매연: 1%,해당 / 미이행,팰리세이드,2021년식
37203512,65구0571,2016/04/25,오토,가솔린+전기,"144,629km",양호,양호,없음,없음,없음,일산화탄소: 0.07% / 탄화수소: 11ppm,해당없음,LF 쏘나타 하이브리드,2016년식
38631651,93다4257,2021/09/13,-,가솔린+LPG,"40,382km",양호,양호,있음 / 적법,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,리얼 뉴 콜로라도,2021년식
38397516,52더7810,2018/09/05,-,가솔린,"163,981km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 5ppm,해당없음,SM3 네오,2018년식
38563143,26수1899,2013/08/16,-,가솔린+전기,"201,220km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,K5 하이브리드,2013년식
38210685,138마3394,2021/07/20,-,가솔린,"29,394km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 2ppm,해당,더 뉴 G70,2021년식
