id,price,car_number,registration_date,transmission,fuel_type,mileage,mileage_condition,chassis_number,tuning,special_history,usage_change,emission_gas,recall,car_name,year
38310575,2390,308오1380,2020/06/19,오토,가솔린,"78,191km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 4ppm,해당없음,더 뉴 그랜저 IG,2020년식
38320713,730,32루0109,2016/11/03,-,가솔린,"109,000km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 15ppm,해당없음,레이,2016년식
37643184,1879,33머3882,2019/02/13,-,가솔린,"40,980km",양호,양호,있음 / 적법,없음,없음,일산화탄소: 0.02% / 탄화수소: 4ppm,해당없음,i30 (PD),2019년식
38433602,450,66두2168,2014/02/28,오토,가솔린,"149,947km",양호,양호,없음,없음,없음,일산화탄소: 0.5% / 탄화수소: 20ppm,해당없음,레이,2014년식
38339251,250,11무3322,2012/06/20,-,가솔린,"154,995km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,뉴SM5(신형),2012년식
38556575,1750,106주1883,2021/10/15,오토,가솔린,"82,653km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 5ppm,해당없음,뷰티풀 코란도,2022년식
38508834,2830,260가3267,2021/03/23,-,가솔린,"126,075km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 9ppm,해당없음,더 K9,2021년식
38379109,3299,174소5081,2020/07/13,오토,디젤,"69,292km",양호,양호,없음,없음,없음,매연: 1.0%,해당없음,쏘렌토 4세대,2021년식
38388098,799,151나3053,2019/04/18,오토,가솔린,"156,850km",양호,양호,없음,없음,없음,일산화탄소: 0.15% / 탄화수소: 27ppm,해당없음,더 뉴 레이,2019년식
38613342,1739,50오2275,2018/08/30,-,디젤,"129,966km",양호,양호,없음,없음,없음,매연: 0%,해당 / 이행,더 뉴 쏘렌토,2019년식
38431148,780,53머2904,2018/08/14,오토,가솔린,"65,649km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 0.01ppm,해당없음,더 뉴 스파크,2019년식
38339108,4330,289고4754,2021/05/27,-,가솔린,"83,255km",양호,양호,없음,없음,없음,일산화탄소: 0.10% / 탄화수소: 12ppm,해당 / 이행,GV70,2021년식
38527149,450,29수8051,2010/08/23,오토,가솔린,"180,898km",양호,양호,없음,없음,없음,일산화탄소: 0.04% / 탄화수소: 9ppm,해당없음,K5,2011년식
38607289,5270,373우7796,2020/06/07,-,가솔린,"95,316km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,GV80,2020년식
38429219,590,27서1752,2015/02/05,오토,가솔린,"99,540km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: .ppm,해당없음,K3,2015년식
