id,n,model,fuel,cc,date,nc,oc,tl,fd,tf,cm_num,cm_price,co_num,co_price,price,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38151240,347너4311,셀토스,가솔린,1591cc,2019/10/28,0,3,0,0,0,0,0,1,1280659,1980,오토,자가보증,"31,791km",없음,없음,없음,없음,없음
38379778,08노3552,뉴오피러스,가스,2656cc,2006/09/13,0,5,0,0,0,3,9229414,1,1488264,250,오토,자가보증,"226,422km",없음,없음,없음,있음,있음
38439424,155고4000,팰리세이드,디젤,2199cc,2021/11/01,0,1,0,0,0,0,0,0,0,4730,-,보험사보증,"84,263km",없음,없음,없음,없음,없음
38380243,36가3931,니로,하이브리드,1580cc,2018/11/14,0,0,0,0,0,2,5653997,1,2608790,1650,-,보험사보증,"57,792km",없음,없음,없음,없음,있음
37821146,255가3239,티볼리 아머,가솔린,1597cc,2019/05/28,1,3,0,0,0,4,5177184,8,8878228,1150,오토,자가보증,"89,687km",없음,없음,있음 / 렌트,없음,있음
38591298,05더3130,아반떼 AD,가솔린,1591cc,2017/04/05,0,9,0,0,0,2,4344243,3,4411617,850,오토,보험사보증,"143,326km",없음,없음,없음,없음,있음
38418582,232도7102,카니발 4세대,가솔린,3470cc,2023/09/22,0,1,0,0,0,0,0,0,0,4250,-,보험사보증,"12,516km",없음,없음,없음,없음,없음
38255618,193로7703,아반떼 하이브리드 (CN7),하이브리드,1580cc,2022/06/28,0,1,0,0,0,8,49504910,5,7165980,1550,-,보험사보증,"54,536km",없음,없음,없음,있음,있음
37815528,292저1107,K7 프리미어 하이브리드,하이브리드,2359cc,2019/12/31,0,2,0,0,0,3,3039746,0,0,2490,-,보험사보증,"121,111km",없음,없음,없음,없음,없음
38571600,116고1669,K5 3세대,가솔린,1999cc,2020/11/23,0,1,0,0,0,0,0,0,0,2450,-,보험사보증,"27,421km",없음,없음,없음,없음,없음
38216728,141러2178,쏘렌토 4세대,하이브리드,1598cc,2021/01/20,0,1,0,0,0,0,0,0,0,3850,-,보험사보증,"74,474km",없음,없음,없음,없음,없음
38603448,59모3880,벨로스터,가솔린,1591cc,2011/08/22,0,2,0,0,0,4,4085460,3,2387490,449,오토,보험사보증,"70,868km",없음,없음,없음,없음,있음
37681748,221오3870,G80 (RG3),가솔린,2497cc,2020/06/01,1,1,0,0,0,0,0,2,1600195,3890,오토,보험사보증,"74,801km",없음,없음,있음 / 렌트,없음,없음
38010900,13부9159,아반떼 MD,가솔린,1591cc,2012/01/16,0,3,0,0,0,2,2716085,0,0,550,-,보험사보증,"119,392km",없음,없음,없음,없음,있음
38362702,323머8052,K8 하이브리드,하이브리드,1598cc,2022/06/16,0,1,0,0,0,0,0,0,0,3700,-,보험사보증,"58,613km",없음,없음,없음,없음,없음
38445926,65어1431,싼타페 TM,디젤,1995cc,2019/07/26,0,0,0,0,0,0,0,0,0,2250,오토,자가보증,"109,846km",없음,없음,없음,없음,없음
38597256,90저6225,뉴 라보,가스,796cc,2019/06/03,0,2,0,0,0,1,1724151,0,0,890,수동,자가보증,"35,672km",없음,없음,없음,없음,없음
38027405,148루6753,더 뉴 트랙스,가솔린,1362cc,2020/11/05,1,1,0,0,0,0,0,0,0,1170,오토,보험사보증,"78,873km",없음,없음,있음 / 렌트,없음,없음
38482747,175루6659,더 뉴 레이,가솔린,998cc,2021/09/10,1,1,0,0,0,0,0,1,921349,920,-,보험사보증,"72,033km",없음,없음,있음 / 렌트,없음,없음
38532917,141거4037,더 뉴 그랜저 IG,가솔린,2497cc,2020/09/28,0,0,0,0,0,0,0,0,0,2829,-,보험사보증,"17,548km",없음,없음,없음,없음,없음
38416391,270조4240,엑센트(신형),가솔린,1368cc,2019/05/31,1,3,0,0,0,1,348522,3,3908990,920,오토,보험사보증,"30,599km",없음,없음,있음 / 렌트,없음,있음
