ID,N,NC,OC,TL,FD,TF,CM,CO
38573878,28버6774,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38580213,23무0501,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회7,816,896원","1회/3,676,113원"
37985125,47마3916,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,573,562원","2회/1,253,540원"
38556419,166가5827,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회675,451원","1회/567,384원"
38467540,161구2278,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38293585,26머9848,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38467557,281로3408,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회883,384원",없음
37798904,29누3767,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회57,901,000원",1회/미확정
38639023,223부3631,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38623770,24저4804,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,337,560원",없음
38557950,263오2187,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38434114,18로8359,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회3,506,498원","1회/5,676,760원"
38503475,138마2527,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37817239,245구3078,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,997,880원",없음
38464560,90보6348,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회704,040원","1회/1,515,980원"
38490526,243고7901,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38103219,261러9209,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37538887,45모4479,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,340,000원","2회/11,286,254원"
38448964,18로8359,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회3,506,498원","1회/5,676,760원"
38354272,254너2180,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회5,699,496원",없음
38227584,53두0936,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,813,968원","1회/250,000원"
